fecha_hora,Frequency,Phase_1_Voltage,Phase_2_Voltage,Phase_3_Voltage,Average_Phase_Voltage,Line_Voltage_1_2,Line_Voltage_2_3,Line_Voltage_3_1,Average_Line_Voltage,Total_Phase_A_Current,Total_Phase_B_Current,Total_Phase_C_Current,Neutral_Current,Phase_A_Power,Phase_B_Power,Phase_C_Power,Total_System_Power,Phase_A_Reactive_Power,Phase_B_Reactive_Power,Phase_C_Reactive_Power,Phase_A_Apparent_Power,Phase_B_Apparent_Power,Phase_C_Apparent_Power,Output_Frecuency,Output_Current,Output_Voltage,Output_Power,Power_Factor,Bus_DC_Volts,Drive_Temp_C,Elapsed_Run_Time,Last_Fault_Code
2021/8/23 13:9:36,60.010,273.336,273.704,274.489,273.843,473.318,474.567,474.302,474.063,2.924,2.825,2.816,0.000,-0.266,0.622,-0.362,-0.006,-0.579,0.017,0.513,0.799,0.774,0.773,28.875,12.300,221.300,0.500,0.101,632.800,41.500,2.600,6044.000
2021/8/23 13:9:56,59.970,273.168,273.589,274.301,273.686,472.947,473.979,473.803,473.576,2.936,2.842,2.821,0.000,-0.267,0.615,-0.362,-0.014,-0.579,0.015,0.506,0.800,0.768,0.768,28.875,12.300,221.300,0.500,0.101,632.600,41.500,2.600,6044.000
2021/8/23 13:10:16,59.960,273.017,273.490,274.152,273.553,472.478,473.903,473.556,473.313,2.926,2.837,2.814,0.000,-0.265,0.624,-0.361,-0.001,-0.578,0.019,0.513,0.798,0.777,0.773,28.875,12.300,221.300,0.500,0.102,632.300,41.500,2.700,6044.000
2021/8/23 13:10:36,59.960,273.151,273.633,274.325,273.703,473.023,473.964,473.744,473.577,2.942,2.852,2.821,0.000,-0.266,0.627,-0.361,-0.000,-0.582,0.020,0.514,0.801,0.779,0.774,28.875,12.300,221.300,0.500,0.101,632.300,41.600,2.700,6044.000
2021/8/23 13:10:56,60.000,274.111,274.585,275.266,274.654,474.989,475.893,475.442,475.441,26.503,26.361,26.367,0.000,-6.562,0.613,5.913,-0.036,3.041,-7.160,4.145,7.269,7.244,7.262,28.875,12.300,221.300,0.500,0.097,684.900,41.600,2.700,6044.000
2021/8/23 13:11:16,59.990,273.636,274.091,274.782,274.170,473.117,474.802,474.642,474.187,2.929,2.852,2.823,0.000,-0.262,0.630,-0.359,0.009,-0.583,0.018,0.513,0.800,0.781,0.771,28.875,12.300,221.300,0.500,0.100,633.100,41.600,2.700,6044.000
2021/8/23 13:11:36,59.990,273.501,274.031,274.669,274.067,473.326,474.744,474.402,474.157,2.922,2.837,2.785,0.000,-0.260,0.626,-0.356,0.010,-0.581,0.016,0.506,0.797,0.776,0.763,28.875,12.300,221.300,0.500,0.100,633.100,41.600,2.700,6044.000
2021/8/23 13:11:56,59.990,273.271,273.803,274.483,273.853,472.807,474.528,474.065,473.800,2.919,2.820,2.787,0.000,-0.262,0.615,-0.354,-0.000,-0.576,0.014,0.501,0.792,0.766,0.758,28.875,12.300,221.300,0.500,0.097,633.000,41.800,2.700,6044.000
2021/8/23 13:12:16,59.960,273.159,273.587,274.291,273.679,472.696,474.117,473.736,473.516,2.903,2.787,2.776,0.000,-0.265,0.608,-0.356,-0.013,-0.571,0.013,0.500,0.791,0.760,0.759,28.875,12.300,221.300,0.500,0.104,632.300,41.800,2.700,6044.000
2021/8/23 13:12:36,60.030,273.074,273.461,274.239,273.591,472.752,474.362,474.070,473.728,2.898,2.792,2.784,0.000,-0.265,0.610,-0.359,-0.014,-0.569,0.017,0.504,0.790,0.762,0.764,28.875,12.300,221.300,0.500,0.098,633.100,41.800,2.700,6044.000
2021/8/23 13:12:56,59.990,272.632,273.108,273.833,273.191,471.489,473.016,472.379,472.295,2.889,2.777,2.778,0.000,-0.265,0.604,-0.355,-0.016,-0.565,0.014,0.500,0.784,0.755,0.758,28.875,12.300,221.300,0.500,0.097,630.900,41.800,2.700,6044.000
2021/8/23 13:13:16,60.000,273.300,273.755,274.435,273.830,472.956,474.641,474.224,473.940,2.897,2.793,2.775,0.000,-0.266,0.614,-0.360,-0.012,-0.577,0.012,0.503,0.796,0.766,0.763,28.875,12.300,221.300,0.500,0.096,633.300,41.900,2.700,6044.000
2021/8/23 13:13:36,60.000,273.207,273.644,274.333,273.728,472.853,474.224,473.828,473.635,2.893,2.792,2.778,0.000,-0.266,0.610,-0.357,-0.014,-0.571,0.019,0.505,0.790,0.762,0.764,28.875,12.300,221.300,0.500,0.097,632.500,41.900,2.700,6044.000
2021/8/23 13:13:56,60.000,273.386,273.801,274.472,273.886,472.825,474.403,474.065,473.765,2.873,2.772,2.770,0.000,-0.264,0.600,-0.351,-0.015,-0.557,0.020,0.501,0.776,0.751,0.756,28.875,12.300,221.300,0.400,0.095,632.700,41.900,2.700,6044.000
2021/8/23 13:14:16,60.000,273.431,273.869,274.519,273.940,473.332,474.357,474.025,473.905,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.600,41.200,2.700,6044.000
2021/8/23 13:14:36,59.990,273.418,273.827,274.514,273.919,473.174,474.258,474.074,473.835,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.600,41.200,2.700,6044.000
2021/8/23 13:14:56,60.040,273.747,274.236,274.860,274.281,474.035,474.987,474.645,474.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.600,41.200,2.700,6044.000
2021/8/23 13:15:16,60.030,273.434,273.894,274.519,273.949,473.356,474.563,473.963,473.961,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.600,41.200,2.700,6044.000
2021/8/23 13:15:36,59.940,273.254,273.671,274.334,273.753,472.948,474.209,473.813,473.657,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.600,41.200,2.700,6044.000
2021/8/23 13:15:56,59.970,273.438,273.949,274.559,273.982,473.353,474.616,474.259,474.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.600,41.200,2.700,6044.000
2021/8/23 13:16:16,59.970,273.484,273.939,274.458,273.960,473.700,474.783,474.312,474.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.600,41.200,2.700,6044.000
2021/8/23 13:16:36,60.000,273.385,273.833,274.437,273.885,472.614,474.119,473.627,473.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.600,41.200,2.700,6044.000
