fecha_hora,Frequency,Phase_1_Voltage,Phase_2_Voltage,Phase_3_Voltage,Average_Phase_Voltage,Line_Voltage_1_2,Line_Voltage_2_3,Line_Voltage_3_1,Average_Line_Voltage,Total_Phase_A_Current,Total_Phase_B_Current,Total_Phase_C_Current,Neutral_Current,Phase_A_Power,Phase_B_Power,Phase_C_Power,Total_System_Power,Phase_A_Reactive_Power,Phase_B_Reactive_Power,Phase_C_Reactive_Power,Phase_A_Apparent_Power,Phase_B_Apparent_Power,Phase_C_Apparent_Power,Output_Frecuency,Output_Current,Output_Voltage,Output_Power,Power_Factor,Bus_DC_Volts,Drive_Temp_C,Elapsed_Run_Time,Last_Fault_Code
2022/1/11 15:29:1,60.000,276.336,276.451,277.062,276.616,478.297,479.219,478.973,478.829,0.111,0.108,0.104,0.000,-0.018,-0.016,-0.017,-0.051,-0.013,-0.014,-0.012,0.031,0.030,0.029,0.000,0.000,0.000,0.000,0.000,654.800,32.800,15.200,4.000
2022/1/11 15:29:21,60.000,276.334,276.447,277.080,276.620,478.078,479.545,478.919,478.847,0.111,0.109,0.101,0.000,-0.018,-0.016,-0.018,-0.051,-0.013,-0.014,-0.011,0.031,0.030,0.029,0.000,0.000,0.000,0.000,0.000,655.000,32.800,15.200,4.000
2022/1/11 15:29:41,60.000,275.717,275.875,276.468,276.020,477.093,478.329,477.929,477.784,0.111,0.108,0.105,0.000,-0.018,-0.016,-0.017,-0.051,-0.013,-0.014,-0.011,0.030,0.030,0.029,0.000,0.000,0.000,0.000,0.000,653.400,32.800,15.200,4.000
2022/1/11 15:30:1,59.990,275.610,275.719,276.373,275.901,476.704,477.768,477.939,477.471,0.111,0.108,0.102,0.000,-0.018,-0.016,-0.017,-0.051,-0.013,-0.013,-0.011,0.030,0.029,0.029,0.000,0.000,0.000,0.000,0.000,653.100,32.800,15.200,4.000
2022/1/11 15:30:21,59.970,275.878,275.962,276.613,276.151,477.548,478.366,478.111,478.008,0.110,0.108,0.105,0.000,-0.018,-0.016,-0.017,-0.051,-0.014,-0.013,-0.012,0.030,0.030,0.029,0.000,0.000,0.000,0.000,0.000,653.700,32.800,15.200,4.000
2022/1/11 15:30:41,60.000,276.148,276.249,276.877,276.425,477.803,478.964,478.657,478.474,0.110,0.108,0.105,0.000,-0.018,-0.016,-0.017,-0.051,-0.013,-0.014,-0.012,0.030,0.030,0.029,0.000,0.000,0.000,0.000,0.000,654.400,32.800,15.200,4.000
2022/1/11 15:31:1,60.030,276.193,276.266,276.908,276.456,477.697,478.839,478.543,478.359,0.111,0.108,0.101,0.000,-0.019,-0.016,-0.017,-0.052,-0.013,-0.013,-0.011,0.031,0.030,0.029,0.000,0.000,0.000,0.000,0.000,654.200,32.800,15.200,4.000
2022/1/11 15:31:22,59.990,275.981,276.055,276.686,276.241,477.695,478.729,477.942,478.122,0.110,0.108,0.101,0.000,-0.018,-0.016,-0.017,-0.051,-0.013,-0.014,-0.011,0.031,0.030,0.029,0.000,0.000,0.000,0.000,0.000,653.800,32.800,15.200,4.000
2022/1/11 15:31:42,59.970,276.055,276.119,276.793,276.322,477.625,478.578,478.616,478.273,0.110,0.108,0.101,0.000,-0.018,-0.016,-0.017,-0.050,-0.013,-0.013,-0.012,0.030,0.030,0.028,0.000,0.000,0.000,0.000,0.000,654.100,33.000,15.200,4.000
2022/1/11 15:32:2,59.960,275.961,276.045,276.733,276.246,477.538,478.767,478.358,478.221,0.111,0.108,0.104,0.000,-0.019,-0.016,-0.018,-0.052,-0.014,-0.013,-0.012,0.031,0.030,0.029,0.000,0.000,0.000,0.000,0.000,654.000,33.000,15.200,4.000
